Model,Algorithm,Merge,IoU,MSE,Params
===================================================================
bone,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.9375,0.012211,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
bone,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.9375,0.037465,"{'merge': 'NEAREST_PROJ', 'threshold': 1.0, 'hollow_grid': True}"
bone,SPATIAL_CARVE,MAJORITY_VOTE,0.9375,0.012211,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.125), 'hollow_grid': True}"
bone,SPATIAL_CARVE,NEAREST_PROJ,0.9375,0.037465,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.25), 'hollow_grid': True}"
bone,DEPTH_MAPPING,,0.5556,0.260828,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.5, 'minimum_region_size': 1}"
bone,HYBRID_DEPTH,MAJORITY_VOTE,0.9375,0.012211,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 4, 'hollow_grid': True}"
bone,HYBRID_DEPTH,NEAREST_PROJ,0.9375,0.037465,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 2, 'hollow_grid': True}"
-----------------------------------------------------------------
box,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.2314,0.201395,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
box,SPATIAL_CARVE,MAJORITY_VOTE,0.2314,0.193986,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.125), 'hollow_grid': True}"
box,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.2314,0.193986,"{'merge': 'MAJORITY_VOTE', 'threshold': 1.0, 'hollow_grid': True}"
box,SPATIAL_CARVE,NEAREST_PROJ,0.2314,0.202875,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
box,DEPTH_MAPPING,,0.4064,0.182342,"{'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 0.5, 'minimum_region_size': 1}"
box,HYBRID_DEPTH,MAJORITY_VOTE,0.4338,0.164773,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 1.0, 'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 1.0, 'minimum_region_size': 1, 'hollow_grid': True}"
box,HYBRID_DEPTH,NEAREST_PROJ,0.4338,0.162141,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 1.0, 'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 1.0, 'minimum_region_size': 4, 'hollow_grid': True}"
-----------------------------------------------------------------
box2,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.2047,0.342650,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
box2,SPATIAL_CARVE,MAJORITY_VOTE,0.2047,0.314685,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
box2,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.2047,0.314685,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
box2,SPATIAL_CARVE,NEAREST_PROJ,0.2047,0.354063,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
