View,Algo,Merge,Input_Views,Avg_IOU,Avg_MSE
back,SILHOUETTE,INTERSECT,VOTE_from_front_left,0.9950,84.0357
right,DEPTH,MAPPING,from_front_left,0.9913,70.9021
back,SPATIAL,CARVE,PROJ_from_front_left,0.9950,86.7489
back,SILHOUETTE,INTERSECT,PROJ_from_front_left,0.9950,86.7489
back,HYBRID,DEPTH,PROJ_from_front_left,0.9881,87.1213
back,DEPTH,MAPPING,from_front_left,0.9932,76.9229
right,SILHOUETTE,INTERSECT,PROJ_from_front_left,0.9985,82.3477
right,SPATIAL,CARVE,PROJ_from_front_left,0.9985,82.3477
right,HYBRID,DEPTH,VOTE_from_front_left,0.9907,79.4263
right,SILHOUETTE,INTERSECT,VOTE_from_front_left,0.9985,79.4580
right,HYBRID,DEPTH,PROJ_from_front_left,0.9907,82.3071
back,SPATIAL,CARVE,VOTE_from_front_left,0.9950,84.0357
back,HYBRID,DEPTH,VOTE_from_front_left,0.9881,84.1699
right,SPATIAL,CARVE,VOTE_from_front_left,0.9985,79.4580
bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front,0.9920,82.9602
bottom,HYBRID,DEPTH,PROJ_from_top_front_left,0.9036,81.3655
back,DEPTH,MAPPING,from_top_front_left,0.9698,71.4689
right,DEPTH,MAPPING,from_top_left,0.9839,63.1839
back,DEPTH,MAPPING,from_top_front,0.9851,73.0442
bottom,DEPTH,MAPPING,from_top_front_left,0.9809,92.7962
back,SPATIAL,CARVE,PROJ_from_top_front_left,0.9907,76.3547
bottom,SPATIAL,CARVE,VOTE_from_top_front_left,0.9920,81.0775
bottom,HYBRID,DEPTH,VOTE_from_top_left,0.9709,90.3224
bottom,HYBRID,DEPTH,PROJ_from_top_left,0.9709,82.9689
back,SILHOUETTE,INTERSECT,PROJ_from_top_front,0.9965,75.2268
bottom,HYBRID,DEPTH,VOTE_from_top_front_left,0.9036,82.3221
right,HYBRID,DEPTH,VOTE_from_top_front_left,0.8627,68.1716
bottom,DEPTH,MAPPING,from_top_front,0.9899,96.5924
right,HYBRID,DEPTH,PROJ_from_top_left,0.9661,73.5743
right,SPATIAL,CARVE,VOTE_from_top_front_left,0.9975,67.2315
right,HYBRID,DEPTH,PROJ_from_top_front_left,0.8627,72.2346
bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,0.9920,80.6989
right,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,0.9975,67.2315
back,HYBRID,DEPTH,PROJ_from_top_front,0.9725,74.7898
bottom,SILHOUETTE,INTERSECT,PROJ_from_top_left,0.9920,82.4096
right,SPATIAL,CARVE,PROJ_from_top_front_left,0.9975,72.1898
right,SILHOUETTE,INTERSECT,PROJ_from_top_left,0.9982,73.1714
back,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,0.9907,76.3547
back,SPATIAL,CARVE,VOTE_from_top_front,0.9965,72.2089
right,SPATIAL,CARVE,PROJ_from_top_left,0.9982,73.1714
bottom,HYBRID,DEPTH,PROJ_from_top_front,0.9846,83.2663
back,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,0.9907,76.7689
back,HYBRID,DEPTH,VOTE_from_top_front,0.9725,71.7431
back,SILHOUETTE,INTERSECT,VOTE_from_top_front,0.9965,72.2089
bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,0.9920,81.0775
right,SPATIAL,CARVE,VOTE_from_top_left,0.9982,67.2575
bottom,SPATIAL,CARVE,VOTE_from_top_left,0.9920,89.4964
right,HYBRID,DEPTH,VOTE_from_top_left,0.9661,67.5576
back,HYBRID,DEPTH,PROJ_from_top_front_left,0.8968,74.4907
back,SPATIAL,CARVE,PROJ_from_top_front,0.9965,75.2268
right,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,0.9975,72.1898
right,SILHOUETTE,INTERSECT,VOTE_from_top_left,0.9982,67.2575
bottom,SILHOUETTE,INTERSECT,VOTE_from_top_left,0.9920,89.4964
right,DEPTH,MAPPING,from_top_front_left,0.9718,66.7059
back,SPATIAL,CARVE,VOTE_from_top_front_left,0.9907,76.7689
bottom,SPATIAL,CARVE,PROJ_from_top_left,0.9920,82.4096
bottom,SPATIAL,CARVE,PROJ_from_top_front,0.9920,82.9602
bottom,DEPTH,MAPPING,from_top_left,0.9865,95.6190
bottom,SPATIAL,CARVE,VOTE_from_top_front,0.9920,92.2334
back,HYBRID,DEPTH,VOTE_from_top_front_left,0.8968,74.6089
bottom,HYBRID,DEPTH,VOTE_from_top_front,0.9846,92.5357
bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front,0.9920,92.2334
bottom,SPATIAL,CARVE,PROJ_from_top_front_left,0.9920,80.6989
