Object,View,Algo,Merge,Input_Views,IOU,MSE
mug,back,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,161.9578
mug,right,DEPTH,MAPPING,from_front_left,1.0000,160.2817
mug,back,SPATIAL,CARVE,PROJ_from_front_left,1.0000,164.2435
mug,back,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,164.2435
mug,back,HYBRID,DEPTH,PROJ_from_front_left,1.0000,164.2435
mug,back,DEPTH,MAPPING,from_front_left,1.0000,162.3116
mug,right,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,160.2817
mug,right,SPATIAL,CARVE,PROJ_from_front_left,1.0000,160.2817
mug,right,HYBRID,DEPTH,VOTE_from_front_left,1.0000,158.4514
mug,right,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,158.4514
mug,right,HYBRID,DEPTH,PROJ_from_front_left,1.0000,160.2817
mug,back,SPATIAL,CARVE,VOTE_from_front_left,1.0000,161.9578
mug,back,HYBRID,DEPTH,VOTE_from_front_left,1.0000,161.9578
mug,right,SPATIAL,CARVE,VOTE_from_front_left,1.0000,158.4514
barrel,back,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,70.2069
barrel,right,DEPTH,MAPPING,from_front_left,1.0000,46.1667
barrel,back,SPATIAL,CARVE,PROJ_from_front_left,1.0000,77.8218
barrel,back,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,77.8218
barrel,back,HYBRID,DEPTH,PROJ_from_front_left,0.9914,78.2435
barrel,back,DEPTH,MAPPING,from_front_left,1.0000,46.1839
barrel,right,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,75.7213
barrel,right,SPATIAL,CARVE,PROJ_from_front_left,1.0000,75.7213
barrel,right,HYBRID,DEPTH,VOTE_from_front_left,1.0000,67.4856
barrel,right,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,67.4856
barrel,right,HYBRID,DEPTH,PROJ_from_front_left,1.0000,75.7213
barrel,back,SPATIAL,CARVE,VOTE_from_front_left,1.0000,70.2069
barrel,back,HYBRID,DEPTH,VOTE_from_front_left,0.9914,70.5623
barrel,right,SPATIAL,CARVE,VOTE_from_front_left,1.0000,67.4856
chair,back,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,44.9914
chair,right,DEPTH,MAPPING,from_front_left,0.9545,37.1151
chair,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front,1.0000,63.3893
chair,bottom,HYBRID,DEPTH,PROJ_from_top_front_left,0.8550,46.8318
chair,back,DEPTH,MAPPING,from_top_front_left,0.9283,47.7255
chair,right,DEPTH,MAPPING,from_top_left,0.9492,38.4385
chair,back,DEPTH,MAPPING,from_top_front,0.9927,48.9828
chair,bottom,DEPTH,MAPPING,from_top_front_left,0.9850,82.2277
chair,back,SPATIAL,CARVE,PROJ_from_front_left,1.0000,71.3015
chair,back,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,71.3015
chair,back,HYBRID,DEPTH,PROJ_from_front_left,0.9706,71.3699
chair,back,SPATIAL,CARVE,PROJ_from_top_front_left,1.0000,72.4951
chair,bottom,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,45.5153
chair,bottom,HYBRID,DEPTH,VOTE_from_top_left,0.9695,50.7520
chair,bottom,HYBRID,DEPTH,PROJ_from_top_left,0.9695,57.7165
chair,back,SILHOUETTE,INTERSECT,PROJ_from_top_front,1.0000,74.3971
chair,bottom,HYBRID,DEPTH,VOTE_from_top_front_left,0.8550,46.7009
chair,right,HYBRID,DEPTH,VOTE_from_top_front_left,0.8750,43.6644
